order_item_id,bill_id,restaurant_location,menu_item_id,menu_category,quantity_ordered,unit_selling_price,item_subtotal_amount,preparation_time_minutes,item_notes,beverage_temperature
OI33,B457,Milan,M23,Pizza ,1,251,1084,30,Extra cheese,Hot
OI34,B903,Rome,M28,Pasta,2,790,320,0,,
OI35,B3441,Florence,M37,Pizza ,2,641,615,98,,Cold
OI36,B1816,ROME,M3,Beverage,2,249,1325,77,,Hot
OI37,B3535,milan,M10,Beverage,3,424,237,37,Extra cheese,
OI38,B1274,Rome,M46,Pizza ,3,752,1241,37,,Cold
OI39,B1427,Rome,M40,Beverage,3,601,1301,32,,
OI40,B768,milan,M45,Pasta,1,783,1101,9,,Cold
OI41,B3336,ROME,M22,pizza,1,318,598,18,,
OI42,B2695,Milan,M6,pizza,2,656,1268,0,Extra cheese,Hot
OI43,B3713,milan,M35,pizza,2,515,1447,0,,Hot
OI44,B1721,MILAN ,MX1,Pasta,3,485,543,0,,
OI45,B1673,milan,M41,Pizza ,3,287,656,116,Extra cheese,Hot
OI46,B1494,ROME,M7,Pasta,3,447,980,6,,
OI47,B198,Rome,M20,pizza,2,468,322,103,,Cold
OI48,B403,milan,M39,Beverage,2,359,1212,0,Extra cheese,
OI49,B298,Florence,M40,PASTA,2,747,1421,61,Extra cheese,Cold
OI50,B3921,Milan,M44,Pizza ,3,274,796,0,,
OI51,B1748,Rome,M47,Pasta,1,688,1155,113,,Hot
OI52,B3975,Rome,M1,Pizza ,1,770,261,107,Extra cheese,Cold
OI53,B2271,MILAN ,M10,Pasta,2,691,1192,25,,Cold
OI54,B28,milan,M3,Pasta,1,285,948,107,,Hot
OI55,B1833,ROME,M23,Beverage,3,645,564,14,Extra cheese,Cold
OI56,B2596,Rome,M30,pizza,3,302,1449,22,Extra cheese,Hot
OI57,B742,Milan,M24,Beverage,3,238,369,5,,Hot
OI58,B1075,milan,M40,PASTA,2,697,1169,8,Extra cheese,Cold
OI59,B3483,milan,M44,Pizza ,3,376,680,28,,Hot
OI60,B2844,MILAN ,M18,Beverage,1,293,693,0,,Hot
OI61,B1284,MILAN ,M42,Pizza ,2,483,404,0,,
OI62,B2236,MILAN ,M49,pizza,1,360,619,0,Extra cheese,Hot
OI63,B2498,milan,M32,Pasta,2,527,541,69,Extra cheese,Hot
OI64,B603,milan,M18,pizza,3,348,396,18,Extra cheese,Cold
OI65,B3243,Rome,M37,pizza,2,369,1329,0,,Cold
OI66,B78,Rome,M1,pizza,3,533,867,38,Extra cheese,Hot
OI67,B2512,Milan,M19,Pizza ,3,754,526,0,,
OI68,B1423,Rome,M34,PASTA,3,393,1125,6,,
OI69,B2621,ROME,M24,Pizza ,3,422,979,0,,Cold
OI70,B2206,Florence,M9,PASTA,2,347,615,10,,Hot
OI71,B261,MILAN ,M6,PASTA,1,660,250,18,,Cold
OI72,B3839,Rome,M29,pizza,2,757,1243,73,,Hot
OI73,B969,ROME,M29,Beverage,3,683,216,61,,Hot
OI74,B2073,ROME,M12,Beverage,3,277,560,0,Extra cheese,
OI75,B1599,MILAN ,MX2,Pizza ,3,572,599,36,,Cold
OI76,B1361,milan,M8,pizza,2,358,546,60,Extra cheese,Hot
OI77,B3216,Rome,M18,pizza,3,475,469,0,Extra cheese,Hot
OI78,B1834,ROME,M5,Pizza ,1,642,1367,98,,Cold
OI79,B305,Rome,M3,Beverage,1,731,511,14,,
OI80,B2115,Rome,M47,Pasta,2,389,1192,83,,Hot
OI81,B3073,milan,M4,Pizza ,3,395,1498,5,Extra cheese,Cold
OI82,B2668,Rome,M42,PASTA,2,235,1390,29,,Hot
OI83,B878,milan,M21,Beverage,3,759,1458,103,Extra cheese,
OI84,B3834,Milan,M25,Beverage,1,293,207,34,Extra cheese,
OI85,B715,Florence,M14,Pizza ,1,450,1047,61,Extra cheese,Cold
OI86,B2288,ROME,M43,pizza,2,478,628,0,,Hot
OI87,B1768,Florence,MX1,Pizza ,2,626,635,0,,
OI88,B2406,Florence,M5,Beverage,1,511,677,37,Extra cheese,Hot
OI89,B192,ROME,M50,Pizza ,3,699,874,92,,Hot
OI90,B481,Milan,M36,Beverage,1,267,1276,35,,
OI91,B375,Florence,M46,PASTA,1,325,526,82,Extra cheese,Cold
OI92,B1267,Milan,M25,PASTA,1,334,635,0,,
OI93,B465,Milan,M29,pizza,1,450,487,36,Extra cheese,
OI94,B2259,Milan,M6,Beverage,2,370,249,0,,Hot
OI95,B1561,milan,M23,Pizza ,1,605,383,116,,Hot
OI96,B2355,milan,M23,Pasta,1,219,342,98,,Cold
OI97,B264,Rome,M15,PASTA,1,399,1312,0,Extra cheese,Cold
OI98,B3912,milan,M3,Pasta,3,773,386,0,,Cold
OI99,B2524,Milan,M25,PASTA,2,236,1153,36,,Hot
OI100,B2592,MILAN ,M48,pizza,1,785,1329,87,,
OI101,B2807,milan,M23,PASTA,1,571,255,85,,Cold
OI102,B541,Milan,M21,Pasta,2,790,757,0,,Hot
OI103,B146,Florence,M24,Pasta,3,546,405,74,,Hot
OI104,B2424,Rome,M26,PASTA,1,800,506,23,,Hot
OI105,B2613,MILAN ,M13,Beverage,3,629,1049,0,Extra cheese,Hot
OI106,B911,Rome,MX1,PASTA,3,729,941,0,,
OI107,B415,MILAN ,M38,Beverage,1,211,256,0,,Hot
OI108,B2793,Rome,M25,pizza,1,294,835,0,Extra cheese,Hot
OI109,B1098,MILAN ,M26,Pasta,1,430,1382,109,,Cold
OI110,B2093,Florence,M46,pizza,2,494,530,66,,
OI111,B3748,Milan,M39,PASTA,1,373,204,11,,
OI112,B2140,ROME,M36,Pasta,2,216,1416,12,,Hot
OI113,B1870,Milan,M22,Beverage,1,599,1145,35,,Cold
OI114,B1644,Rome,M7,PASTA,3,348,1255,72,Extra cheese,
OI115,B1767,Rome,M23,Beverage,3,771,1222,0,,Cold
OI116,B3463,Rome,M36,Pasta,1,432,985,26,,Cold
OI117,B3081,Milan,M19,pizza,2,346,1160,103,,Cold
OI118,B1381,Milan,M14,pizza,2,794,954,60,,Hot
OI119,B595,ROME,M41,Pasta,2,796,916,0,,Cold
OI120,B3733,milan,M17,Pizza ,3,342,1415,21,Extra cheese,Hot
OI121,B156,ROME,MX1,Pasta,3,733,526,0,Extra cheese,
OI122,B477,Florence,M17,Pizza ,3,504,1105,0,,Hot
OI123,B1801,Milan,M19,Pizza ,1,638,226,15,,Cold
OI124,B1324,Florence,M13,Pasta,1,460,391,0,,
OI125,B116,MILAN ,M37,pizza,1,703,957,0,,Cold
OI126,B1014,ROME,M29,Pasta,2,762,749,70,,Cold
OI127,B770,milan,M40,PASTA,3,615,1466,61,,
OI128,B1734,Florence,M42,pizza,2,311,479,8,,Cold
OI129,B1138,Rome,M47,Pizza ,2,465,1149,40,,Hot
OI130,B1356,ROME,M4,pizza,2,259,359,75,Extra cheese,
OI131,B636,Rome,M23,Pasta,3,792,549,0,,Hot
OI132,B2134,Florence,M23,pizza,1,456,688,0,,
OI133,B1367,Milan,M10,PASTA,1,754,1038,113,,
OI134,B3124,ROME,M8,Beverage,1,557,580,0,Extra cheese,Hot
OI135,B3483,milan,M22,Pasta,2,700,649,106,Extra cheese,Hot
OI136,B3326,milan,M4,Beverage,3,496,238,11,Extra cheese,Cold
OI137,B1901,Rome,MX1,Beverage,1,266,1391,0,,Hot
OI138,B3460,Milan,M32,Beverage,2,235,1432,27,,Cold
OI139,B3835,MILAN ,M46,Pasta,2,319,833,20,,Cold
OI140,B849,Florence,M36,pizza,1,319,1497,25,,Cold
OI141,B1740,MILAN ,M39,Beverage,2,367,1353,71,,Hot
OI142,B673,Rome,M46,PASTA,1,470,667,0,,
OI143,B3530,ROME,M41,Pasta,3,241,868,31,Extra cheese,Hot
OI144,B3785,Milan,M17,PASTA,2,395,243,85,Extra cheese,Hot
OI145,B616,ROME,M37,Pizza ,2,760,375,32,Extra cheese,
OI146,B356,Milan,M38,Pizza ,1,363,748,0,,
OI147,B985,MILAN ,M29,PASTA,2,455,1293,0,,
OI148,B1077,MILAN ,M13,Pasta,1,552,1186,12,Extra cheese,
OI149,B586,Milan,M27,Pasta,1,493,1144,0,,Cold
OI150,B840,Rome,M17,Beverage,2,434,904,24,,Cold
OI151,B3251,MILAN ,M27,Pizza ,1,265,400,92,,
OI152,B722,Rome,M26,PASTA,2,219,228,115,Extra cheese,
OI153,B1100,ROME,M15,PASTA,1,327,810,40,,
OI154,B3014,Rome,M7,pizza,2,210,1263,63,,Hot
OI155,B2082,ROME,M44,Pasta,3,332,776,23,Extra cheese,Hot
OI156,B2277,milan,M34,Pizza ,1,678,620,21,,
OI157,B1874,Rome,M14,PASTA,1,468,1355,0,Extra cheese,Hot
OI158,B779,milan,M29,PASTA,3,406,1265,5,,
OI159,B939,Florence,M1,Beverage,3,435,767,0,,Cold
OI160,B2008,MILAN ,M27,Beverage,1,688,604,40,Extra cheese,Hot
OI161,B834,Florence,M15,Pizza ,3,334,530,111,Extra cheese,Hot
OI162,B2287,MILAN ,M5,pizza,1,793,579,104,Extra cheese,Hot
OI163,B140,Milan,M12,PASTA,2,698,329,63,,Hot
OI164,B2063,Milan,M20,Pizza ,3,665,1026,69,,Cold
OI165,B2449,Rome,M1,PASTA,2,456,1286,0,,
OI166,B125,ROME,M16,Pasta,2,692,1299,71,Extra cheese,
OI167,B997,ROME,M29,PASTA,3,753,873,0,Extra cheese,Hot
OI168,B3955,milan,MX1,Pizza ,3,729,397,87,,Hot
OI169,B2432,milan,M21,Pizza ,3,728,504,0,,Cold
OI170,B686,MILAN ,M41,Beverage,2,301,375,87,,Hot
OI171,B213,Rome,M45,Pizza ,3,230,332,22,,Hot
OI172,B1135,Milan,M46,PASTA,3,200,722,0,,Hot
OI173,B2302,Rome,M13,PASTA,2,761,1114,24,,Hot
OI174,B877,ROME,M29,Beverage,2,271,1182,0,,Cold
OI175,B3969,Milan,M27,Pizza ,1,539,335,86,Extra cheese,
OI176,B202,MILAN ,M28,Pizza ,2,276,1045,76,,Cold
OI177,B1658,milan,M46,PASTA,2,580,1052,117,,Cold
OI178,B907,Rome,M22,Pizza ,2,707,1274,0,Extra cheese,
OI179,B1133,ROME,M22,PASTA,2,275,1297,118,,Cold
OI180,B1195,ROME,M20,Beverage,1,394,1468,29,,Cold
OI181,B1094,Milan,M21,PASTA,2,599,1216,0,,
OI182,B709,MILAN ,M40,Beverage,3,759,346,0,Extra cheese,Hot
OI183,B3943,Rome,M15,Pizza ,1,365,1406,0,Extra cheese,
OI184,B3920,MILAN ,M2,PASTA,2,461,384,87,Extra cheese,Hot
OI185,B2100,Rome,M47,pizza,2,323,231,0,Extra cheese,
OI186,B1895,Rome,M1,Beverage,1,411,363,68,,Hot
OI187,B682,Rome,M44,pizza,3,497,571,0,,Cold
OI188,B1530,MILAN ,M29,pizza,2,686,817,0,Extra cheese,Hot
OI189,B2275,Milan,M5,Pizza ,3,203,898,30,,Cold
OI190,B861,Florence,M34,pizza,1,252,1371,0,Extra cheese,Cold
OI191,B3802,Milan,M25,Pizza ,3,268,902,17,,Cold
OI192,B86,Florence,MX2,PASTA,2,498,967,29,Extra cheese,
OI193,B375,Milan,M33,pizza,1,435,992,33,,Cold
OI194,B1077,Milan,M26,Pizza ,3,395,749,0,,Hot
OI195,B965,ROME,M34,PASTA,3,517,1445,32,,
OI196,B206,Florence,M35,Pasta,3,677,855,0,,Hot
OI197,B1185,Milan,M41,PASTA,2,428,826,38,,Hot
OI198,B566,Florence,MX2,Pizza ,1,777,693,0,,Hot
OI199,B2683,ROME,M48,PASTA,1,498,802,0,Extra cheese,Hot
OI200,B348,milan,MX1,pizza,3,531,876,98,Extra cheese,Hot
OI201,B3768,Rome,M3,PASTA,2,610,993,0,,Hot
OI202,B1563,milan,M42,Pizza ,2,657,1279,88,,
OI203,B2790,Milan,M24,Pasta,2,301,683,30,,Cold
OI204,B1994,MILAN ,M39,Beverage,3,406,463,77,,Cold
OI205,B894,Milan,M30,Beverage,2,682,842,26,Extra cheese,Hot
OI206,B3314,Milan,M9,Beverage,2,542,740,0,Extra cheese,
OI207,B2559,MILAN ,M45,pizza,1,773,1282,84,,Cold
OI208,B2341,Milan,M18,PASTA,3,597,992,77,Extra cheese,Cold
OI209,B3446,ROME,M33,Beverage,2,208,1263,35,,
OI210,B3740,MILAN ,M6,Pasta,3,445,862,107,Extra cheese,Cold
OI211,B2499,Florence,M4,pizza,2,466,1155,22,,Cold
OI212,B565,MILAN ,M24,pizza,2,354,1183,0,,
OI213,B1369,Rome,M17,PASTA,3,686,767,8,,
OI214,B1007,Milan,M40,pizza,2,207,689,0,Extra cheese,Hot
OI215,B936,Rome,M21,Beverage,3,317,238,101,,
OI216,B2027,Rome,M31,Pasta,3,680,933,0,Extra cheese,
OI217,B2754,milan,M40,Beverage,3,377,860,30,Extra cheese,Cold
OI218,B2833,MILAN ,M50,Pizza ,1,294,1181,64,,Hot
OI219,B1665,Florence,M27,Pizza ,3,740,1042,0,,
OI220,B1607,ROME,M14,Pasta,1,210,605,14,,Cold
OI221,B2806,ROME,M40,Pizza ,2,227,1449,21,,Cold
OI222,B2323,Rome,M32,Pasta,2,430,1007,0,,
OI223,B2662,MILAN ,M22,Pasta,1,311,1152,0,Extra cheese,
OI224,B129,Florence,M5,PASTA,3,455,721,70,,Hot
OI225,B3236,ROME,M44,PASTA,1,563,704,0,,
OI226,B1454,ROME,M26,Pizza ,3,628,1426,0,Extra cheese,Hot
OI227,B3591,milan,M14,Pasta,2,336,815,5,,Cold
OI228,B2611,MILAN ,M30,Beverage,3,473,497,87,,Hot
OI229,B2670,milan,MX2,Pizza ,2,784,604,0,,Cold
OI230,B3845,MILAN ,M40,PASTA,1,295,1329,22,,Cold
OI231,B3946,Milan,M25,Pizza ,3,379,1378,63,,Cold
OI232,B268,milan,M1,Pasta,3,514,329,0,Extra cheese,Hot
OI233,B2616,MILAN ,M27,PASTA,1,461,1499,83,,Cold
OI234,B1760,Milan,M48,PASTA,3,263,651,77,,Cold
OI235,B2767,Rome,M12,pizza,2,253,355,0,Extra cheese,
OI236,B3679,Milan,M39,pizza,3,415,883,81,,Hot
OI237,B1405,Florence,M41,Pizza ,1,745,1065,91,Extra cheese,Hot
OI238,B3423,milan,M49,Beverage,2,665,882,75,,Hot
OI239,B1898,MILAN ,M44,Beverage,1,715,849,83,Extra cheese,Hot
OI240,B2744,Milan,M17,pizza,3,522,751,31,,Hot
OI241,B244,ROME,M26,Pasta,3,641,422,99,,
OI242,B1861,Florence,M14,Pizza ,1,536,688,0,,
OI243,B1118,MILAN ,M25,PASTA,3,456,755,0,Extra cheese,Cold
OI244,B1042,Milan,M44,Pasta,3,368,631,11,,Cold
OI245,B2295,milan,M32,Pasta,2,393,1391,0,,Cold
OI246,B2597,Florence,M47,PASTA,1,362,995,14,Extra cheese,Cold
OI247,B3150,MILAN ,M46,pizza,3,591,502,79,,Cold
OI248,B1576,MILAN ,MX1,Pizza ,3,424,669,98,,Hot
OI249,B294,ROME,M2,pizza,1,752,1233,37,Extra cheese,Cold
OI250,B2174,ROME,M12,Pasta,3,779,896,71,Extra cheese,Hot
OI251,B2474,ROME,M29,PASTA,1,272,1348,40,Extra cheese,
OI252,B2411,Florence,M50,Beverage,2,613,1500,6,,Cold
OI253,B3560,milan,M27,pizza,3,586,1157,0,,Cold
OI254,B408,Florence,M35,Beverage,2,565,1265,33,,
OI255,B2262,Florence,M3,PASTA,1,697,899,13,,
OI256,B3733,Rome,M4,pizza,1,794,242,30,Extra cheese,Cold
OI257,B1967,milan,M32,Beverage,1,242,505,24,,Hot
OI258,B2794,milan,M31,Pasta,3,695,365,101,Extra cheese,
OI259,B2,Milan,M8,PASTA,1,400,1014,0,Extra cheese,
OI260,B3975,Milan,M42,Pizza ,3,458,456,65,,Cold
OI261,B2713,MILAN ,M27,Pizza ,1,229,1200,0,,Cold
OI262,B1722,milan,M24,Pasta,3,453,417,60,,Hot
OI263,B3017,Milan,M25,Beverage,1,382,385,70,,Hot
OI264,B3438,MILAN ,M32,Pasta,3,592,973,0,Extra cheese,Cold
OI265,B100,MILAN ,MX2,PASTA,3,440,397,0,,Hot
OI266,B3487,Rome,M20,pizza,2,685,436,0,,Hot
OI267,B1762,Florence,M30,PASTA,2,664,1282,116,,Hot
OI268,B1048,ROME,M8,Pasta,1,261,1140,111,,
OI269,B2707,Rome,M17,Beverage,3,247,414,0,Extra cheese,Cold
OI270,B3144,MILAN ,M26,Pizza ,3,638,877,39,,Cold
OI271,B1843,Milan,M38,PASTA,3,430,1016,115,,
OI272,B2413,Florence,M49,pizza,2,285,242,18,Extra cheese,Cold
OI273,B2212,Rome,M46,pizza,1,422,288,39,,Hot
OI274,B793,milan,M17,Pasta,2,757,556,6,,Hot
OI275,B97,Rome,M10,Pizza ,2,545,736,0,Extra cheese,
OI276,B1779,MILAN ,MX2,Pasta,2,415,1283,0,,Cold
OI277,B3498,Florence,M10,PASTA,1,397,914,0,,Hot
OI278,B1591,Florence,M15,PASTA,1,757,308,95,Extra cheese,Hot
OI279,B2193,ROME,M45,Pizza ,3,280,419,15,Extra cheese,Hot
OI280,B1240,Florence,M20,PASTA,1,607,852,34,,Hot
OI281,B410,Rome,M9,Pasta,3,614,1257,60,Extra cheese,Hot
OI282,B3951,Rome,M43,Pizza ,2,438,952,13,,Cold
OI283,B1983,Florence,M13,Pizza ,1,274,225,0,,
OI284,B1682,Florence,M34,Pizza ,2,629,829,11,,Cold
OI285,B3584,MILAN ,M39,Pizza ,3,782,887,17,,Hot
OI286,B1405,MILAN ,M12,Pizza ,2,588,1302,36,,
OI287,B3399,MILAN ,M37,Pasta,2,595,269,0,Extra cheese,
OI288,B1021,Rome,M43,Pasta,1,471,234,105,,
OI289,B1802,Florence,MX1,Pasta,2,299,1471,106,Extra cheese,
OI290,B912,milan,M10,Pasta,3,514,1198,36,Extra cheese,
OI291,B1715,Florence,M5,Pasta,2,552,1488,74,,Hot
OI292,B1612,Florence,M9,Beverage,3,217,1089,95,Extra cheese,Hot
OI293,B1315,Florence,M47,Pizza ,2,254,595,119,Extra cheese,Hot
OI294,B1440,Florence,M6,Beverage,1,469,609,112,,Cold
OI295,B1023,Rome,M21,Beverage,1,734,1221,99,,Cold
OI296,B1996,MILAN ,M10,pizza,1,634,1149,0,Extra cheese,Cold
OI297,B3053,milan,M19,Pasta,3,616,785,0,Extra cheese,
OI298,B824,Rome,M9,Beverage,1,509,1270,61,Extra cheese,
OI299,B706,MILAN ,M38,Pasta,2,372,1347,7,,Cold
OI300,B2156,milan,MX1,Pizza ,1,648,1176,0,,Cold
OI301,B2135,milan,M7,Beverage,2,602,1024,0,,Hot
OI302,B2552,Florence,M29,pizza,2,678,1071,0,,Cold
OI303,B1643,Rome,M40,Beverage,2,317,1044,16,,Hot
OI304,B1890,milan,M7,pizza,3,347,1488,40,,
OI305,B1861,Florence,M2,pizza,1,223,925,76,,
OI306,B2157,Rome,M3,Pizza ,2,519,1295,34,,Hot
OI307,B2235,milan,M43,Pasta,1,667,1092,91,,Hot
OI308,B1435,MILAN ,M39,Beverage,1,330,724,28,Extra cheese,
OI309,B487,Milan,M25,PASTA,2,454,833,11,Extra cheese,Cold
OI310,B1276,Milan,M27,pizza,1,305,1385,62,,Cold
OI311,B2759,Rome,M50,PASTA,3,281,1488,113,Extra cheese,
OI312,B964,MILAN ,MX2,Beverage,2,488,1346,0,,Cold
OI313,B1945,milan,M5,Pizza ,2,307,858,101,,Hot
OI314,B3390,Milan,M39,Beverage,1,661,777,91,,Hot
OI315,B3737,Milan,M34,PASTA,1,750,1418,70,Extra cheese,Hot
OI316,B3532,MILAN ,M26,Pasta,3,598,867,40,,Hot
OI317,B2845,milan,M37,Pizza ,2,457,859,13,Extra cheese,Cold
OI318,B2274,milan,M29,Beverage,1,372,687,40,,Cold
OI319,B731,Milan,M27,Pasta,3,208,947,61,,
OI320,B3148,ROME,M36,Pasta,1,453,200,0,,
OI321,B630,Rome,M35,Beverage,3,690,1489,110,Extra cheese,
OI322,B634,milan,M4,Pasta,2,272,325,39,Extra cheese,
OI323,B697,milan,M11,Beverage,2,587,1001,15,,Hot
OI324,B1428,Milan,M45,Beverage,3,260,1112,113,,Cold
OI325,B3006,ROME,M9,PASTA,3,515,516,0,,
OI326,B3150,MILAN ,M16,Beverage,1,599,610,97,Extra cheese,Cold
OI327,B2642,MILAN ,M42,Beverage,2,559,1447,63,,
OI328,B941,MILAN ,M16,pizza,3,716,913,0,Extra cheese,
OI329,B906,Rome,M17,PASTA,3,728,1447,11,,
OI330,B2458,MILAN ,M2,pizza,3,699,948,61,Extra cheese,Hot
OI331,B2405,Milan,M27,pizza,3,799,1431,110,Extra cheese,Cold
OI332,B265,Rome,M28,Beverage,2,360,286,89,Extra cheese,
OI333,B2795,Florence,M47,Pasta,2,536,739,0,Extra cheese,
OI334,B3926,Rome,M8,PASTA,3,486,890,79,Extra cheese,Cold
OI335,B1108,MILAN ,M38,Pasta,1,790,556,71,Extra cheese,Cold
OI336,B1420,ROME,M48,Pasta,2,389,243,95,Extra cheese,Hot
OI337,B1457,Milan,M30,Pasta,3,709,784,108,Extra cheese,Cold
OI338,B1829,Florence,M21,PASTA,3,331,876,112,,
OI339,B1728,Milan,M33,Beverage,2,634,1428,0,,
OI340,B2676,Milan,M36,PASTA,1,589,512,0,,
OI341,B2645,MILAN ,M44,Pizza ,3,238,209,13,,
OI342,B2837,Rome,M3,Pizza ,1,515,751,63,,Cold
OI343,B2823,milan,M32,pizza,3,690,1192,23,,Hot
OI344,B3867,ROME,M44,PASTA,2,650,470,0,Extra cheese,Hot
OI345,B3518,Florence,MX1,Pasta,1,627,711,22,,
OI346,B3156,Milan,M44,Beverage,1,470,475,0,,Hot
OI347,B64,ROME,M21,Pizza ,2,667,710,18,Extra cheese,
OI348,B3076,ROME,M12,Pizza ,2,552,1120,28,,Hot
OI349,B1360,Rome,M33,Beverage,2,593,1307,61,,Cold
OI350,B1096,Rome,M33,Beverage,1,610,834,0,,Hot
OI351,B211,milan,M4,pizza,2,467,1029,0,,Cold
OI352,B1822,ROME,M40,pizza,1,799,743,37,,Hot
OI353,B1175,Florence,M8,pizza,2,236,873,0,,Hot
OI354,B1751,MILAN ,M39,Pasta,1,735,413,0,,
OI355,B2642,MILAN ,M29,Beverage,2,533,1354,0,Extra cheese,
OI356,B3847,Florence,M7,PASTA,1,355,791,99,Extra cheese,Cold
OI357,B3470,Florence,M30,Pasta,1,732,211,105,,Cold
OI358,B2856,Rome,MX1,pizza,1,588,305,94,,
OI359,B2129,ROME,M22,PASTA,2,301,728,19,Extra cheese,Cold
OI360,B1927,ROME,M17,PASTA,3,513,1182,104,Extra cheese,
OI361,B870,ROME,M46,Pizza ,1,600,1494,104,Extra cheese,Cold
OI362,B3298,Rome,M30,pizza,3,523,1272,8,,Hot
OI363,B3234,Rome,M40,pizza,1,268,1115,0,,Hot
OI364,B2717,milan,M5,Pizza ,1,579,852,0,,
OI365,B3276,MILAN ,M35,pizza,3,576,1301,87,,Cold
OI366,B2316,Florence,M7,PASTA,2,728,385,19,Extra cheese,Hot
OI367,B1848,Milan,M14,Beverage,3,447,913,0,Extra cheese,Hot
OI368,B3134,MILAN ,M48,pizza,3,376,613,16,Extra cheese,
OI369,B229,milan,M48,pizza,2,526,1223,0,,Hot
OI370,B3322,Rome,M45,pizza,1,540,410,0,Extra cheese,Cold
OI371,B824,Rome,M9,Pasta,1,410,404,76,,Hot
OI372,B2150,Milan,M48,Pasta,2,202,1492,0,,Cold
OI373,B852,MILAN ,M14,Pizza ,1,385,968,75,,Cold
OI374,B1138,Florence,M5,Pizza ,3,383,1413,40,,Hot
OI375,B1355,Milan,M10,pizza,3,290,750,19,,Cold
OI376,B536,milan,M42,Pizza ,3,574,289,106,Extra cheese,Cold
OI377,B2196,milan,M24,Pizza ,1,345,703,78,,Hot
OI378,B3594,MILAN ,M11,Pasta,2,568,685,7,,Hot
OI379,B925,Milan,M40,Pasta,2,574,1287,13,Extra cheese,Hot
OI380,B805,Milan,M18,Beverage,2,236,966,95,,Hot
OI381,B1370,MILAN ,M24,Pizza ,1,721,959,64,,
OI382,B1068,ROME,M14,Beverage,2,504,1285,97,,Hot
OI383,B3581,Florence,M23,pizza,2,413,614,38,Extra cheese,
OI384,B3971,Rome,M9,Pizza ,1,791,791,5,,Cold
OI385,B108,Rome,M7,pizza,1,541,1044,30,Extra cheese,
OI386,B3135,Florence,M40,Pasta,3,607,861,39,Extra cheese,Cold
OI387,B3545,Florence,MX1,PASTA,1,406,546,0,,Hot
OI388,B75,Rome,M4,PASTA,3,265,1375,0,,
OI389,B1923,Florence,M7,PASTA,2,447,896,108,,Cold
OI390,B2944,Milan,M10,PASTA,3,607,422,0,,Hot
OI391,B2269,Florence,M27,Pasta,2,202,469,23,,Hot
OI392,B597,Florence,M17,Beverage,1,374,788,0,,
OI393,B539,Florence,M50,Pasta,1,227,397,17,Extra cheese,
OI394,B702,Florence,M35,PASTA,2,441,881,101,,
OI395,B393,milan,M46,pizza,1,365,1437,0,Extra cheese,Cold
OI396,B1683,ROME,M12,pizza,3,731,762,31,,Cold
OI397,B230,ROME,M50,Beverage,2,669,1387,28,,Cold
OI398,B15,milan,M36,Pasta,3,676,281,0,,Cold
OI399,B225,Rome,M9,PASTA,1,542,1066,113,,Cold
OI400,B283,Florence,M32,PASTA,2,391,1403,14,Extra cheese,
OI401,B2234,Rome,M37,Pizza ,2,400,1313,16,,
