bill_id,customer_id,restaurant_location,order_date,order_time,day_name,month_name,quarter,service_time_bucket,order_type,payment_method,order_status,refund_reason,total_quantity_ordered,bill_subtotal_amount,tax_amount,total_bill_amount
B27,C976,Florence,08-05-2023,20:31,Monday,May,Q2,Lunch,Dine-In,Card,Completed,,4,1716,82,977
B28,C970,ROME,26-01-2024,17:22,Friday,January,Q1,Lunch,DINE IN,UPI,Completed,Late delivery,4,854,98,864
B29,C248,Florence,18-04-2023,12:20,Tuesday,April,Q2,Breakfast,DINE IN,Cash,Completed,,6,1291,90,1833
B30,C580,Milan,10-12-2024,22:12,Tuesday,December,Q4,Lunch,dine-in,UPI,Completed,,1,1750,156,609
B31,C94,Milan,16-07-2023,17:18,Sunday,July,Q3,Dinner,dine-in,,Completed,,5,882,140,1330
B32,C698,milan,21-06-2024,09:16,Friday,June,Q2,Lunch,Dine-In,Card,Completed,,1,1481,181,1755
B33,C311,milan,20-04-2022,21:36,Wednesday,April,Q2,Lunch,Dine-In,Cash,Completed,Late delivery,4,1541,172,1969
B34,C1071,Rome,08-04-2023,16:58,Saturday,April,Q2,Lunch,Online,,Completed,Late delivery,5,423,176,1865
B35,C426,Florence,23-07-2022,12:16,Saturday,July,Q3,Dinner,Dine-In,Cash,Completed,,5,453,60,355
B36,C923,Florence,16-04-2024,18:30,Tuesday,April,Q2,Lunch,Dine-In,Cash,Completed,Late delivery,3,1739,136,495
B37,C542,Florence,24-04-2023,18:42,Monday,April,Q2,Breakfast,online,Card,Refunded,,6,605,88,2042
B38,C147,Milan,19-10-2022,11:50,Wednesday,October,Q4,Lunch,DINE IN,UPI,Completed,,4,1710,97,1783
B39,C558,ROME,04-04-2024,17:31,Thursday,April,Q2,Lunch,Dine-In,Card,Completed,Late delivery,3,1536,84,402
B40,C469,Florence,07-07-2022,22:55,Thursday,July,Q3,Dinner,DINE IN,Card,Refunded,,5,382,64,1313
B41,C906,MILAN ,28-11-2024,11:37,Thursday,November,Q4,Lunch,online,Card,Completed,,4,982,102,1722
B42,C330,MILAN ,03-08-2022,15:44,Wednesday,August,Q3,Lunch,Online,,Refunded,,4,480,100,866
B43,C238,Rome,25-10-2023,22:32,Wednesday,October,Q4,Breakfast,DINE IN,,Completed,,2,1361,112,1625
B44,C906,Milan,17-10-2024,12:17,Thursday,October,Q4,Dinner,dine-in,UPI,Completed,Late delivery,4,548,27,1640
B45,C325,MILAN ,06-05-2023,17:00,Saturday,May,Q2,Dinner,online,Card,Completed,,4,540,185,2054
B46,C1021,Florence,12-11-2022,13:32,Saturday,November,Q4,Dinner,Online,,Completed,,2,1235,161,646
B47,C391,ROME,25-02-2024,17:47,Sunday,February,Q1,Breakfast,Dine-In,UPI,Completed,,5,847,20,929
B48,C1188,Florence,04-09-2023,16:55,Monday,September,Q3,Breakfast,online,,Completed,,5,1862,159,1122
B49,C660,milan,21-07-2024,20:15,Sunday,July,Q3,Dinner,online,Cash,Completed,,3,1825,141,1794
B50,C791,Florence,20-02-2024,21:52,Tuesday,February,Q1,Dinner,dine-in,,Completed,,5,1508,104,2131
B51,C902,Milan,25-07-2022,17:58,Monday,July,Q3,Lunch,Dine-In,Cash,Completed,Late delivery,2,453,140,1950
B52,C694,ROME,27-06-2023,20:25,Tuesday,June,Q2,Dinner,Dine-In,UPI,Refunded,Late delivery,4,948,180,1821
B53,C1109,Milan,26-09-2024,18:04,Thursday,September,Q3,Breakfast,Online,Cash,Refunded,,4,501,182,1791
B54,C909,milan,25-07-2022,20:19,Monday,July,Q3,Breakfast,Dine-In,UPI,Completed,,3,1067,130,648
B55,C1088,Rome,16-05-2023,18:43,Tuesday,May,Q2,Breakfast,dine-in,Cash,Completed,Late delivery,4,1569,194,843
B56,C1195,milan,16-10-2024,12:29,Wednesday,October,Q4,Dinner,Online,,Completed,Late delivery,1,1947,139,2195
B57,C1120,milan,13-08-2023,10:28,Sunday,August,Q3,Lunch,DINE IN,UPI,Refunded,,6,812,136,2081
B58,C408,Rome,11-09-2023,22:30,Monday,September,Q3,Breakfast,dine-in,,Refunded,,5,905,199,954
B59,C811,MILAN ,14-02-2022,09:36,Monday,February,Q1,Dinner,Dine-In,,Completed,,5,1942,110,798
B60,C514,Florence,25-01-2023,21:46,Wednesday,January,Q1,Dinner,dine-in,Card,Refunded,Late delivery,1,932,132,418
B61,C270,Milan,18-01-2024,13:20,Thursday,January,Q1,Dinner,online,Cash,Completed,,5,1049,155,1377
B62,C337,MILAN ,13-07-2023,22:30,Thursday,July,Q3,Lunch,Online,Card,Completed,,2,1844,77,2111
B63,C1142,MILAN ,24-03-2024,10:50,Sunday,March,Q1,Lunch,Dine-In,UPI,Refunded,,4,1054,192,1883
B64,C1198,Rome,21-06-2023,22:40,Wednesday,June,Q2,Lunch,Dine-In,Cash,Completed,,5,1449,103,2224
B65,C130,Florence,30-03-2023,22:29,Thursday,March,Q1,Dinner,Online,,Completed,,1,376,97,1358
B66,C200,milan,26-08-2022,17:08,Friday,August,Q3,Lunch,online,UPI,Refunded,Late delivery,6,1406,127,1552
B67,C850,Florence,13-11-2022,10:53,Sunday,November,Q4,Lunch,DINE IN,,Completed,,6,1058,75,1258
B68,C484,MILAN ,29-06-2024,10:43,Saturday,June,Q2,Lunch,DINE IN,UPI,Completed,,3,688,51,2293
B69,C188,Florence,20-07-2024,12:41,Saturday,July,Q3,Dinner,DINE IN,Card,Completed,,2,557,164,770
B70,C1136,milan,21-05-2022,18:13,Saturday,May,Q2,Breakfast,Online,Cash,Refunded,,3,596,53,1456
B71,C358,Milan,29-05-2023,19:55,Monday,May,Q2,Breakfast,dine-in,Card,Completed,,5,963,24,706
B72,C108,milan,28-06-2023,20:26,Wednesday,June,Q2,Dinner,Dine-In,Card,Completed,,3,1351,171,573
B73,C1032,milan,14-07-2024,18:02,Sunday,July,Q3,Dinner,DINE IN,UPI,Completed,Late delivery,1,424,142,2085
B74,C874,Florence,02-04-2024,10:31,Tuesday,April,Q2,Dinner,online,Card,Completed,,5,603,36,608
B75,C1199,ROME,18-07-2023,20:20,Tuesday,July,Q3,Lunch,DINE IN,UPI,Completed,Late delivery,5,1181,45,1974
B76,C1130,Florence,23-08-2022,22:13,Tuesday,August,Q3,Lunch,online,Cash,Completed,,4,1116,126,1844
B77,C641,Rome,14-07-2022,14:42,Thursday,July,Q3,Lunch,Online,Cash,Refunded,,1,486,41,540
B78,C198,Florence,03-06-2024,20:23,Monday,June,Q2,Breakfast,DINE IN,Card,Refunded,Late delivery,5,975,191,600
B79,C725,Florence,21-04-2024,21:27,Sunday,April,Q2,Dinner,Dine-In,UPI,Refunded,,3,512,167,1389
B80,C317,Florence,12-03-2023,16:14,Sunday,March,Q1,Breakfast,Online,UPI,Completed,,5,763,129,2080
B81,C548,Milan,23-02-2022,11:17,Wednesday,February,Q1,Dinner,Online,UPI,Completed,,2,593,164,1696
B82,C143,milan,31-03-2024,20:40,Sunday,March,Q1,Breakfast,Dine-In,Cash,Completed,,4,998,60,1107
B83,C665,ROME,01-10-2023,18:05,Sunday,October,Q4,Breakfast,dine-in,Cash,Refunded,,6,467,89,1257
B84,C995,ROME,18-05-2024,16:26,Saturday,May,Q2,Lunch,dine-in,Card,Completed,,1,880,193,1739
B85,C1080,Florence,23-09-2024,13:02,Monday,September,Q3,Breakfast,online,Card,Completed,,3,732,55,1915
B86,C593,MILAN ,08-06-2023,10:00,Thursday,June,Q2,Lunch,online,Cash,Completed,,5,1741,78,1374
B87,C148,Rome,27-12-2023,22:47,Wednesday,December,Q4,Breakfast,online,Card,Completed,,3,1479,129,1524
B88,C856,MILAN ,08-04-2024,10:25,Monday,April,Q2,Breakfast,Online,Cash,Refunded,,6,1041,42,1244
B89,C499,Rome,05-08-2022,18:25,Friday,August,Q3,Dinner,Dine-In,,Completed,Late delivery,3,753,105,1945
B90,C157,ROME,11-12-2022,19:07,Sunday,December,Q4,Dinner,DINE IN,Cash,Completed,,6,1977,185,2019
B91,C484,Milan,30-10-2022,11:16,Sunday,October,Q4,Breakfast,dine-in,Cash,Refunded,,2,1882,180,1361
B92,C1155,ROME,08-08-2024,16:43,Thursday,August,Q3,Dinner,DINE IN,UPI,Refunded,,2,1200,37,1310
B93,C621,MILAN ,24-06-2024,18:03,Monday,June,Q2,Lunch,DINE IN,Card,Completed,,4,377,34,1105
B94,C158,Florence,11-08-2023,22:54,Friday,August,Q3,Breakfast,DINE IN,,Completed,Late delivery,5,1921,30,1271
B95,C659,ROME,21-01-2023,16:32,Saturday,January,Q1,Breakfast,Dine-In,,Completed,,6,472,149,1673
B96,C81,milan,20-12-2022,20:28,Tuesday,December,Q4,Lunch,DINE IN,Cash,Completed,,3,1093,124,1936
B97,C108,Florence,24-11-2023,19:21,Friday,November,Q4,Breakfast,Online,Card,Refunded,Late delivery,4,881,84,1832
B98,C683,Milan,04-11-2022,18:42,Friday,November,Q4,Breakfast,Online,UPI,Refunded,Late delivery,6,1102,53,1568
B99,C635,ROME,23-06-2022,15:41,Thursday,June,Q2,Lunch,dine-in,Card,Refunded,Late delivery,4,1341,112,387
B100,C633,milan,13-01-2024,12:21,Saturday,January,Q1,Lunch,dine-in,Cash,Completed,,1,905,45,1389
B101,C78,Florence,14-12-2024,14:56,Saturday,December,Q4,Dinner,dine-in,,Completed,,2,1718,179,2006
B102,C897,Milan,06-12-2022,15:23,Tuesday,December,Q4,Dinner,dine-in,,Refunded,,6,1905,134,829
B103,C490,MILAN ,29-12-2024,21:50,Sunday,December,Q4,Lunch,dine-in,UPI,Refunded,Late delivery,4,1245,92,1943
B104,C1030,ROME,22-02-2024,15:10,Thursday,February,Q1,Breakfast,DINE IN,Cash,Completed,,6,1284,115,1485
B105,C1057,Milan,30-07-2022,13:05,Saturday,July,Q3,Breakfast,Online,,Refunded,,4,487,76,2022
B106,C716,Milan,12-07-2024,15:03,Friday,July,Q3,Lunch,DINE IN,UPI,Completed,,1,1067,77,407
B107,C203,Florence,15-10-2023,19:21,Sunday,October,Q4,Breakfast,dine-in,Card,Completed,,6,584,200,1310
B108,C11,Milan,07-07-2024,09:16,Sunday,July,Q3,Breakfast,dine-in,,Completed,,2,916,51,447
B109,C860,Florence,04-05-2023,21:39,Thursday,May,Q2,Lunch,Dine-In,Card,Completed,Late delivery,5,333,181,1405
B110,C295,MILAN ,11-05-2023,15:00,Thursday,May,Q2,Dinner,Online,Cash,Refunded,,2,1660,191,525
B111,C739,Milan,08-12-2024,17:34,Sunday,December,Q4,Dinner,DINE IN,Card,Completed,,1,1601,119,1114
B112,C34,MILAN ,04-06-2023,21:04,Sunday,June,Q2,Lunch,dine-in,Card,Refunded,Late delivery,3,573,31,1071
B113,C359,Florence,25-11-2023,16:44,Saturday,November,Q4,Lunch,dine-in,Cash,Completed,Late delivery,4,375,95,762
B114,C409,Milan,31-03-2022,14:59,Thursday,March,Q1,Lunch,DINE IN,,Refunded,,3,374,185,741
B115,C732,Milan,09-08-2023,22:41,Wednesday,August,Q3,Lunch,Online,Card,Completed,,4,1822,132,2182
B116,C695,milan,02-03-2024,16:44,Saturday,March,Q1,Lunch,Online,UPI,Completed,Late delivery,4,461,130,1583
B117,C1118,MILAN ,05-01-2023,14:06,Thursday,January,Q1,Breakfast,Online,UPI,Completed,,5,1769,129,691
B118,C720,Rome,28-06-2024,09:46,Friday,June,Q2,Lunch,DINE IN,,Completed,Late delivery,1,453,191,1655
B119,C745,ROME,11-04-2024,21:47,Thursday,April,Q2,Dinner,dine-in,Card,Completed,Late delivery,6,1900,132,421
B120,C138,milan,16-09-2022,21:41,Friday,September,Q3,Lunch,Online,,Refunded,,5,614,193,1271
B121,C762,Rome,30-01-2024,21:04,Tuesday,January,Q1,Dinner,dine-in,UPI,Completed,,6,870,83,582
B122,C382,Rome,23-02-2022,17:24,Wednesday,February,Q1,Dinner,Dine-In,UPI,Completed,Late delivery,4,739,176,934
B123,C410,Milan,02-10-2024,11:54,Wednesday,October,Q4,Breakfast,online,Cash,Refunded,,1,1959,194,2081
B124,C712,Florence,17-10-2023,10:35,Tuesday,October,Q4,Dinner,Online,UPI,Completed,Late delivery,6,1734,183,706
B125,C1042,milan,11-01-2024,10:12,Thursday,January,Q1,Breakfast,dine-in,,Completed,,5,1472,114,1307
B126,C177,Milan,23-09-2022,13:25,Friday,September,Q3,Dinner,online,,Completed,Late delivery,1,556,101,1665
B127,C922,Rome,01-06-2022,19:33,Wednesday,June,Q2,Lunch,dine-in,Cash,Completed,,5,413,51,1411
B128,C623,milan,10-11-2022,11:20,Thursday,November,Q4,Dinner,dine-in,UPI,Refunded,,1,813,70,1650
B129,C257,Florence,17-07-2023,13:39,Monday,July,Q3,Dinner,Dine-In,Cash,Refunded,Late delivery,2,650,188,1628
B130,C1155,Milan,23-11-2023,22:55,Thursday,November,Q4,Breakfast,Dine-In,Card,Refunded,Late delivery,3,1633,73,1920
B131,C63,Rome,03-05-2024,19:34,Friday,May,Q2,Lunch,Online,,Completed,Late delivery,4,909,136,499
B132,C324,Rome,03-05-2022,15:30,Tuesday,May,Q2,Lunch,dine-in,UPI,Refunded,,3,1771,101,1853
B133,C817,milan,09-12-2023,21:23,Saturday,December,Q4,Dinner,DINE IN,Card,Completed,,4,550,88,1270
B134,C289,Milan,23-05-2023,09:18,Tuesday,May,Q2,Lunch,DINE IN,,Completed,,3,1483,100,738
B135,C1021,ROME,23-11-2022,16:31,Wednesday,November,Q4,Lunch,online,Card,Completed,,5,1236,81,790
B136,C100,Milan,24-12-2023,13:31,Sunday,December,Q4,Dinner,online,UPI,Refunded,,1,1182,54,2157
B137,C750,Rome,26-06-2023,14:02,Monday,June,Q2,Lunch,Dine-In,Cash,Completed,Late delivery,3,450,118,1382
B138,C1127,MILAN ,11-07-2024,22:39,Thursday,July,Q3,Dinner,DINE IN,Card,Completed,,4,1064,106,1492
B139,C296,milan,19-01-2024,18:32,Friday,January,Q1,Lunch,DINE IN,Card,Completed,,2,1761,105,1996
B140,C1064,Rome,28-08-2024,11:38,Wednesday,August,Q3,Dinner,dine-in,UPI,Refunded,,2,1104,177,1864
B141,C689,ROME,05-09-2023,22:32,Tuesday,September,Q3,Dinner,online,UPI,Completed,,3,978,192,574
B142,C1196,MILAN ,03-05-2024,21:57,Friday,May,Q2,Dinner,Dine-In,,Completed,Late delivery,5,1482,78,1827
B143,C1196,Rome,16-04-2022,11:33,Saturday,April,Q2,Dinner,DINE IN,,Completed,Late delivery,2,364,166,2291
B144,C391,Milan,14-08-2022,16:20,Sunday,August,Q3,Lunch,dine-in,,Refunded,,4,1327,176,2235
B145,C128,Florence,23-08-2024,11:33,Friday,August,Q3,Breakfast,DINE IN,UPI,Refunded,,5,1071,100,704
B146,C1092,MILAN ,30-07-2024,17:22,Tuesday,July,Q3,Dinner,Online,,Completed,,3,1442,96,810
B147,C592,Florence,02-09-2023,12:44,Saturday,September,Q3,Dinner,online,UPI,Completed,,5,1928,90,939
B148,C1175,Florence,07-09-2022,17:24,Wednesday,September,Q3,Lunch,Online,Cash,Completed,,3,1762,40,1059
B149,C526,Florence,24-06-2024,16:13,Monday,June,Q2,Breakfast,DINE IN,UPI,Refunded,Late delivery,3,581,47,1610
B150,C497,Milan,06-05-2023,19:57,Saturday,May,Q2,Dinner,dine-in,Cash,Completed,,4,976,140,555
B151,C11,ROME,09-10-2022,11:26,Sunday,October,Q4,Dinner,online,,Refunded,,3,957,93,1672
B152,C184,Florence,02-05-2022,18:14,Monday,May,Q2,Dinner,Dine-In,Cash,Completed,,1,1113,146,731
B153,C77,Milan,16-08-2023,13:36,Wednesday,August,Q3,Dinner,Dine-In,UPI,Completed,,6,1412,154,1361
B154,C1033,Rome,02-10-2022,13:12,Sunday,October,Q4,Breakfast,Online,Cash,Refunded,,6,826,67,378
B155,C605,ROME,22-11-2023,19:48,Wednesday,November,Q4,Breakfast,dine-in,,Completed,Late delivery,3,477,122,1720
B156,C379,milan,15-07-2022,16:20,Friday,July,Q3,Breakfast,Dine-In,UPI,Completed,,4,1843,88,1025
B157,C1193,Florence,11-09-2023,18:00,Monday,September,Q3,Lunch,Online,Cash,Completed,Late delivery,1,1253,98,677
B158,C1030,Florence,10-04-2024,21:19,Wednesday,April,Q2,Dinner,Dine-In,UPI,Completed,Late delivery,2,748,54,1329
B159,C932,Florence,10-11-2022,18:23,Thursday,November,Q4,Lunch,DINE IN,,Refunded,Late delivery,2,1860,83,1743
B160,C1077,Rome,17-06-2022,17:45,Friday,June,Q2,Lunch,Dine-In,Card,Completed,Late delivery,5,714,166,1449
B161,C337,MILAN ,03-11-2022,22:33,Thursday,November,Q4,Lunch,Dine-In,Cash,Refunded,Late delivery,4,486,150,1262
B162,C929,milan,24-04-2022,17:26,Sunday,April,Q2,Lunch,DINE IN,Card,Refunded,,6,1952,98,1831
B163,C811,MILAN ,14-02-2022,22:00,Monday,February,Q1,Dinner,dine-in,Card,Completed,,3,1734,36,1458
B164,C142,Rome,04-05-2022,09:18,Wednesday,May,Q2,Lunch,dine-in,Cash,Refunded,Late delivery,6,1160,115,2175
B165,C919,Rome,23-02-2024,15:05,Friday,February,Q1,Dinner,DINE IN,Cash,Refunded,,1,665,157,1154
B166,C261,Florence,19-12-2024,12:53,Thursday,December,Q4,Breakfast,Dine-In,UPI,Completed,Late delivery,6,1415,128,1439
B167,C471,milan,16-02-2024,16:22,Friday,February,Q1,Breakfast,Online,Cash,Refunded,,1,1957,189,1208
B168,C493,milan,02-02-2022,10:06,Wednesday,February,Q1,Dinner,Dine-In,,Refunded,Late delivery,6,399,82,1866
B169,C824,Rome,01-04-2022,12:34,Friday,April,Q2,Breakfast,Dine-In,Cash,Refunded,,2,1970,167,1003
B170,C486,MILAN ,19-10-2023,11:42,Thursday,October,Q4,Dinner,dine-in,,Completed,,1,1440,171,2151
B171,C875,ROME,25-12-2022,16:03,Sunday,December,Q4,Lunch,online,UPI,Refunded,,4,605,96,1120
B172,C1102,Rome,12-01-2023,12:54,Thursday,January,Q1,Breakfast,Online,Cash,Completed,,5,1145,126,1491
B173,C275,Rome,21-12-2024,12:16,Saturday,December,Q4,Breakfast,Online,Card,Completed,,1,1396,68,455
B174,C773,Florence,04-07-2023,18:38,Tuesday,July,Q3,Breakfast,Dine-In,Cash,Refunded,Late delivery,6,1444,75,1331
B175,C682,MILAN ,04-03-2023,09:13,Saturday,March,Q1,Breakfast,Dine-In,,Completed,Late delivery,5,1741,72,1162
B176,C1131,MILAN ,06-05-2023,21:18,Saturday,May,Q2,Lunch,online,UPI,Completed,,3,1350,147,1304
B177,C962,MILAN ,21-07-2022,12:23,Thursday,July,Q3,Lunch,online,Card,Refunded,,6,598,24,884
B178,C605,milan,05-05-2024,12:21,Sunday,May,Q2,Breakfast,online,Cash,Completed,Late delivery,6,1702,106,877
B179,C1005,Rome,27-09-2024,11:46,Friday,September,Q3,Lunch,dine-in,Cash,Refunded,Late delivery,4,676,158,1664
B180,C1074,Milan,01-05-2022,22:54,Sunday,May,Q2,Breakfast,Dine-In,Card,Completed,,6,773,37,1798
B181,C19,milan,06-11-2022,17:29,Sunday,November,Q4,Lunch,Dine-In,,Refunded,,1,313,156,1479
B182,C25,Milan,22-04-2024,17:46,Monday,April,Q2,Lunch,DINE IN,UPI,Completed,Late delivery,6,1680,130,2001
B183,C220,Milan,03-01-2023,17:09,Tuesday,January,Q1,Breakfast,dine-in,UPI,Completed,,4,461,115,1181
B184,C1158,milan,29-07-2024,20:14,Monday,July,Q3,Lunch,Dine-In,Card,Completed,,4,1072,161,1324
B185,C20,Florence,25-04-2022,11:05,Monday,April,Q2,Lunch,online,UPI,Refunded,,5,387,78,782
B186,C556,Milan,31-08-2024,10:43,Saturday,August,Q3,Lunch,DINE IN,Card,Completed,,1,724,170,645
B187,C158,MILAN ,26-03-2024,11:36,Tuesday,March,Q1,Breakfast,DINE IN,,Refunded,Late delivery,3,1086,55,1968
B188,C1026,Florence,10-06-2022,14:03,Friday,June,Q2,Breakfast,online,Cash,Completed,,5,1874,177,1569
B189,C669,Milan,23-03-2024,19:17,Saturday,March,Q1,Lunch,online,Cash,Completed,Late delivery,4,1184,67,1742
B190,C176,ROME,18-02-2024,13:51,Sunday,February,Q1,Breakfast,Dine-In,Card,Completed,,4,1757,182,665
B191,C649,MILAN ,08-03-2024,10:05,Friday,March,Q1,Breakfast,Online,,Completed,,1,571,42,733
B192,C920,ROME,01-06-2024,17:32,Saturday,June,Q2,Lunch,Dine-In,Card,Completed,,5,490,172,1574
B193,C789,Milan,27-10-2023,13:26,Friday,October,Q4,Lunch,Dine-In,Cash,Refunded,Late delivery,2,1703,117,697
B194,C551,MILAN ,12-10-2022,13:31,Wednesday,October,Q4,Breakfast,Dine-In,Cash,Completed,,4,913,143,1952
B195,C740,MILAN ,07-06-2022,12:46,Tuesday,June,Q2,Dinner,online,Cash,Completed,,2,923,21,2293
B196,C681,ROME,21-03-2024,15:51,Thursday,March,Q1,Lunch,online,UPI,Completed,Late delivery,5,578,96,1006
B197,C982,MILAN ,16-02-2023,11:25,Thursday,February,Q1,Lunch,Online,,Refunded,,3,1070,91,2022
B198,C748,Milan,15-03-2024,18:12,Friday,March,Q1,Dinner,DINE IN,Cash,Refunded,Late delivery,1,1789,138,2281
B199,C898,MILAN ,06-03-2023,22:44,Monday,March,Q1,Breakfast,online,,Completed,Late delivery,3,795,84,1698
B200,C867,Rome,12-11-2022,10:28,Saturday,November,Q4,Dinner,online,,Refunded,Late delivery,6,1156,159,425
B201,C1100,ROME,07-01-2024,19:58,Sunday,January,Q1,Breakfast,Dine-In,Cash,Refunded,Late delivery,3,640,185,1604
B202,C1154,Florence,01-04-2022,19:41,Friday,April,Q2,Lunch,Online,,Completed,,1,829,76,1395
B203,C1143,ROME,28-11-2024,20:36,Thursday,November,Q4,Breakfast,online,UPI,Completed,,6,1505,196,1374
B204,C707,Milan,05-11-2022,16:06,Saturday,November,Q4,Lunch,online,Card,Completed,Late delivery,2,1013,99,1052
B205,C424,ROME,21-07-2024,16:22,Sunday,July,Q3,Lunch,Dine-In,,Refunded,Late delivery,4,953,37,964
B206,C236,Milan,02-04-2022,22:21,Saturday,April,Q2,Dinner,Dine-In,Cash,Refunded,,5,657,161,677
B207,C1147,Rome,09-11-2023,16:14,Thursday,November,Q4,Lunch,dine-in,Cash,Refunded,Late delivery,4,1110,27,1860
B208,C921,ROME,09-02-2023,15:24,Thursday,February,Q1,Breakfast,dine-in,Cash,Completed,Late delivery,1,1482,46,1987
B209,C750,MILAN ,18-01-2023,12:29,Wednesday,January,Q1,Breakfast,Online,,Refunded,Late delivery,3,1522,119,1601
B210,C234,MILAN ,14-03-2024,14:54,Thursday,March,Q1,Lunch,DINE IN,Cash,Refunded,Late delivery,3,1558,171,523
B211,C642,Milan,02-10-2022,12:19,Sunday,October,Q4,Breakfast,dine-in,UPI,Refunded,,5,1095,127,1571
B212,C1178,Rome,10-10-2022,15:11,Monday,October,Q4,Lunch,DINE IN,Cash,Refunded,,4,891,55,733
B213,C924,ROME,07-10-2023,09:55,Saturday,October,Q4,Lunch,Dine-In,,Completed,,4,1450,149,1687
B214,C838,Florence,10-10-2024,16:26,Thursday,October,Q4,Dinner,online,,Completed,,5,363,76,948
B215,C563,milan,08-03-2022,17:18,Tuesday,March,Q1,Breakfast,online,,Refunded,Late delivery,1,1472,49,898
B216,C1111,Milan,22-01-2024,21:46,Monday,January,Q1,Lunch,DINE IN,Cash,Completed,,6,1999,187,1888
B217,C610,Milan,22-05-2023,16:16,Monday,May,Q2,Lunch,Dine-In,,Completed,,2,1960,170,1761
B218,C877,milan,20-12-2023,18:08,Wednesday,December,Q4,Breakfast,dine-in,Card,Refunded,,5,875,172,1453
B219,C663,Florence,11-12-2022,13:18,Sunday,December,Q4,Dinner,Online,Card,Completed,,1,867,187,609
B220,C512,milan,29-09-2022,20:20,Thursday,September,Q3,Breakfast,online,,Completed,Late delivery,6,850,180,1198
B221,C926,Milan,08-02-2024,19:50,Thursday,February,Q1,Breakfast,online,UPI,Refunded,,4,1299,103,1541
B222,C191,Florence,06-01-2022,16:40,Thursday,January,Q1,Dinner,Online,Card,Refunded,,2,1179,74,1363
B223,C662,MILAN ,04-07-2023,14:35,Tuesday,July,Q3,Dinner,dine-in,,Completed,Late delivery,1,394,45,1632
B224,C34,Milan,30-07-2024,22:10,Tuesday,July,Q3,Lunch,online,Card,Completed,,6,570,186,968
